ID Blok,Luas (ha),Lokasi,Latitude,Longitude,pH,Kelembapan (%),Kesuburan,Status Tanam,Foto (link)
B 01,0.0,,-3.679566,114.746307,0.0,,0.0,0.0,
B 02,0.0,,-3.679182,114.746963,0.0,,0.0,0.0,
B 03,0.0,,-3.679428,114.747883,0.0,,0.0,0.0,
B 04,0.0,,-3.679748,114.748585,0.0,,0.0,0.0,
B 05,0.0,,-3.678118,114.747076,0.0,,0.0,0.0,
B 06,0.0,,-3.678186,114.747862,0.0,,0.0,0.0,
B 07,0.0,,-3.677896,114.748797,0.0,,0.0,0.0,
B 08,0.0,,-3.677631,114.749665,0.0,,0.0,0.0,
B 09,0.0,,-3.677613,114.750584,0.0,,0.0,0.0,
B 10,0.0,,-3.677675,114.751462,0.0,,0.0,0.0,
B 11,0.0,,-3.678122,114.752387,0.0,,0.0,0.0,
B 12,0.0,,-3.675718,114.749663,0.0,,0.0,0.0,
B 13,0.0,,-3.675694,114.750604,0.0,,0.0,0.0,
B 14,0.0,,-3.675698,114.751480,0.0,,0.0,0.0,
B 15,0.0,,-3.675714,114.752427,0.0,,0.0,0.0,
B 16,0.0,,-3.675567,114.753308,0.0,,0.0,0.0,
B 17,0.0,,-3.675294,114.754186,0.0,,0.0,0.0,
B 18,0.0,,-3.674353,114.750124,0.0,,0.0,0.0,
B 19,0.0,,-3.673771,114.752459,0.0,,0.0,0.0,
B 20,0.0,,-3.673958,114.753333,0.0,,0.0,0.0,
B 21,0.0,,-3.673937,114.754183,0.0,,0.0,0.0,
B 22,0.0,,-3.673858,114.755222,0.0,,0.0,0.0,
B 23,0.0,,-3.672338,114.751165,0.0,,0.0,0.0,
B 24,0.0,,-3.672117,114.752416,0.0,,0.0,0.0,
B 25,0.0,,-3.672174,114.753333,0.0,,0.0,0.0,
B 26,0.0,,-3.672637,114.754238,0.0,,0.0,0.0,
